root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
aŭtomobil	automotive	3.93	3	core	4	automotive
enven	incoming	3.93	3	extended	2	incoming, inbound
gild	guild	3.93	3	extended	2	guild
neklar	unclear	3.93	3	core	3	unclear
ortodoks	orthodox	3.93	3	core	4	orthodox
regiment	regiment	3.93	3	extended	2	regiment
surtabl	desktop	3.93	3	extended	2	desktop
bibli	biblical	3.92	3	extended	2	biblical
demografi	demographic	3.92	3	extended	2	demographic
nova	nova	3.92	3	extended	2	nova
amasbuĉ	massacre	3.91	3	extended	2	to massacre, slaughter
antem	anthem	3.91	3	extended	2	anthem
ekzot	exotic	3.91	3	extended	2	exotic
ekzotik	exotic	3.91	3	extended	2	exotic
furi	fury	3.91	3	extended	2	fury, goddess of vengeance
himn	anthem	3.91	3	core	3	anthem, hymn, canticle
masakr	massacre	3.91	3	extended	2	to massacre
verb	verbal	3.91	3	extended	2	verbal
grif	griffin	3.9	3	extended	2	griffin, vulture
iluzi	misleading	3.9	3	extended	2	misleading
partikl	particle	3.9	3	extended	2	particle
partikul	particle	3.9	3	extended	2	particle
ĉampan	champagne	3.9	3	extended	2	champagne, of champagne
advers	adverse	3.89	3	extended	2	adverse
bastard	bastard	3.89	3	core	3	bastard
moru	cod	3.89	3	extended	2	cod, codfish
karm	karma	3.88	3	extended	2	karma
mapig	mapping	3.88	3	extended	2	mapping
milic	militia	3.88	3	extended	2	militia
fiag	abusive	3.87	3	extended	2	abusive
fiuz	abusive	3.87	3	extended	2	abusive
procesor	processor	3.87	3	core	3	processor
legi	legion	3.86	3	extended	2	legion
urani	uranium	3.85	3	extended	2	uranium
volejbal	volleyball	3.85	3	extended	2	volleyball
egzil	exile	3.84	3	extended	2	exile
monopol	monopoly	3.84	3	extended	2	monopoly
diferencial	differential	3.83	3	core	3	differential
mafi	mafia	3.83	3	core	3	mafia
malign	vicious	3.83	3	extended	2	vicious
prototip	prototype	3.83	3	extended	2	prototype
arkiepiskop	archbishop	3.82	3	extended	2	archbishop
debut	maiden	3.82	3	extended	2	maiden
geologi	geological	3.82	3	extended	2	geological
tinktur	dye	3.82	3	extended	2	to dye, tint
bojkot	boycott	3.81	3	extended	2	to boycott
ensorb	absorb	3.81	3	core	3	to absorb
privilegi	privileged	3.81	3	core	4	privileged
ŝah	shah	3.81	3	extended	2	shah
