decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	kidnap	infanŝtel	infanŝtel	infanŝteli	VERB	3	3.48	extended	2	to kidnap	
	common	standalone	lama	lama	lama	lamao	NOUN	3	3.48	extended	2	lama	
	common	derived_adj	terrestrial	surter	surter	surtera	ADJ	3	3.48	core	5	terrestrial, earthly	derived adjective — confirm noun anchor / eo_word
	common	standalone	alto	ald	ald	aldo	NOUN	3	3.47	core	5	alto, contralto (voice); viola	
	common	standalone	gloss	glos	glos	glosi	VERB	3	3.47	core	3	to gloss	
	common	standalone	graft	greft	greft	grefti	VERB	3	3.47	core	4	to graft, transplant	
	common	standalone	ox	oks	oks	okso	NOUN	3	3.47	core	3	ox	
	common	standalone	turbulent	turbul	turbul	turbulo	NOUN	3	3.47	extended	2	turbulent	
	common	standalone	discriminatory	diskriminaci	diskriminaci	diskriminacio	NOUN	3	3.46	extended	2	discriminatory	
	common	standalone	humiliating	humilig	humilig,hontig	humiliga	ADJ	3	3.46	core	3	humiliating	2 roots collapsed: humilig, hontig
	common	standalone	liter	litr	litr	litro	NOUN	3	3.46	extended	2	liter	
	common	standalone	martyr	martir	martir	martiro	NOUN	3	3.46	core	4	martyr	
	common	standalone	opium	opi	opi	opio	NOUN	3	3.46	extended	2	opium	
	common	standalone	candid	simplanim	simplanim	simplanimo	NOUN	3	3.45	extended	2	candid, artless	
	common	standalone	clamp	kramp	kramp	krampi	VERB	3	3.45	core	3	to clamp, staple	
